Outcome,Model,Train_weighting,Evaluation_weighting,Threshold,AUROC,AUPRC,Recall,Precision,F1,Specificity,Brier,Predicted_positive_rate,Mean_predicted_probability,Observed_prevalence
MEDNG,LR,Unweighted,Unweighted,0.5,0.7942410308224905,0.3007181583801104,0.09817351598173515,0.581081081081081,0.16796875,0.9948151864860345,0.055476024339646206,0.011531868474364968,0.06799769042568968,0.06825619448340346
MEDNG,LR,WTFA_A,WTFA_A,0.5,0.7958010220396032,0.31541247463704225,0.11616439636093107,0.5539442999254336,0.19205423112705816,0.9928798007077347,0.05658779934405165,0.014833462624246356,0.07448822420828523,0.07073520223294323
MEDNG,RF,Unweighted,Unweighted,0.5,0.7958998045671264,0.30131332504838637,0.0136986301369863,0.8571428571428571,0.02696629213483146,0.9998327479511624,0.05573954250379612,0.0010908524232507402,0.06832974248251339,0.06825619448340346
MEDNG,RF,WTFA_A,WTFA_A,0.5,0.7967698745166094,0.3157095117300164,0.021007021076289732,0.8557904761944057,0.04100743587034589,0.9997305444837706,0.05717958421425447,0.0017363314099390634,0.07568710814346469,0.07073520223294323
MEDNG,XGBoost,Unweighted,Unweighted,0.5,0.809366458403499,0.30805685879910294,0.07990867579908675,0.5645161290322581,0.14,0.9954841946813848,0.055110733956098557,0.00966183574879227,0.06810256838798523,0.06825619448340346
MEDNG,XGBoost,WTFA_A,WTFA_A,0.5,0.809834389410912,0.3224118355773952,0.10406111821588895,0.6226982263869238,0.17832223068088027,0.9952005019415473,0.05666611764036833,0.011820788834258494,0.07430937790425181,0.07073520223294323
MEDDL,LR,Unweighted,Unweighted,0.5,0.7844607680353665,0.3167882812401599,0.08795411089866156,0.5411764705882353,0.1513157894736842,0.9933853459972863,0.06518390718625498,0.013241937996572676,0.07807372188498617,0.08147686555538246
MEDDL,LR,WTFA_A,WTFA_A,0.5,0.7791668726410361,0.3368401338554485,0.09670918133037654,0.5421466229755142,0.16413893625324563,0.992040844933889,0.0697714031116208,0.015839997661793323,0.08434651601726041,0.08879820015169453
MEDDL,RF,Unweighted,Unweighted,0.5,0.7915592708281987,0.30980649473336047,0.019120458891013385,0.7142857142857143,0.037243947858473,0.9993215739484396,0.065392883229715,0.0021810250817884407,0.07906367580478918,0.08147686555538246
MEDDL,RF,WTFA_A,WTFA_A,0.5,0.792436146327463,0.3282922174127481,0.02521566543774913,0.5956745321351284,0.04838320775822561,0.9983320535887832,0.0702627598786916,0.0037589414784506385,0.08571819923438208,0.08879820015169453
MEDDL,XGBoost,Unweighted,Unweighted,0.5,0.8059826346280072,0.31852548758971816,0.08030592734225621,0.5753424657534246,0.14093959731543623,0.9947421981004071,0.06472616642713547,0.011372487926468297,0.0784786120057106,0.08147686555538246
MEDDL,XGBoost,WTFA_A,WTFA_A,0.5,0.8006599553089659,0.3214100484138236,0.0978209925101432,0.5943390981715322,0.16799246663720396,0.9934934539169821,0.07004520984356238,0.014615104573595026,0.08411392903330511,0.08879820015169453
